major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
84,6,chol_block,RK_UPDATE_A_6_6,VECTOR_MAC,6,6.00,1.00,1.00,1.00,RK_UPDATE_6_6_0|RK_UPDATE_6_6_1|RK_UPDATE_6_6_2|RK_UPDATE_6_6_3|RK_UPDATE_6_6_4|RK_UPDATE_6_6_5
85,6,chol_block,RK_UPDATE_A_6_7,VECTOR_MAC,6,6.00,1.00,1.00,1.00,RK_UPDATE_6_7_0|RK_UPDATE_6_7_1|RK_UPDATE_6_7_2|RK_UPDATE_6_7_3|RK_UPDATE_6_7_4|RK_UPDATE_6_7_5
86,6,chol_block,TRSM_6_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIV_6_0
87,6,chol_block,TRSM_6_1,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,TRSM_DIV_6_1|TRSM_NUM_UPD_6_1_0
88,6,chol_block,TRSM_6_2,SCALAR_DIV|VECTOR_MAC,3,6.00,2.00,4.00,1.00,TRSM_DIV_6_2|TRSM_NUM_UPD_6_2_0|TRSM_NUM_UPD_6_2_1
89,6,chol_block,TRSM_6_3,SCALAR_DIV|VECTOR_MAC,4,7.00,1.75,4.00,1.00,TRSM_DIV_6_3|TRSM_NUM_UPD_6_3_0|TRSM_NUM_UPD_6_3_1|TRSM_NUM_UPD_6_3_2
90,6,chol_block,TRSM_6_4,SCALAR_DIV|VECTOR_MAC,5,8.00,1.60,4.00,1.00,TRSM_DIV_6_4|TRSM_NUM_UPD_6_4_0|TRSM_NUM_UPD_6_4_1|TRSM_NUM_UPD_6_4_2|TRSM_NUM_UPD_6_4_3
91,6,chol_block,TRSM_6_5,SCALAR_DIV|VECTOR_MAC,6,9.00,1.50,4.00,1.00,TRSM_DIV_6_5|TRSM_NUM_UPD_6_5_0|TRSM_NUM_UPD_6_5_1|TRSM_NUM_UPD_6_5_2|TRSM_NUM_UPD_6_5_3|TRSM_NUM_UPD_6_5_4
92,7,chol_block,FWD_COL_0_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_0|FWD_OFF_UPD_7_0
93,7,chol_block,FWD_COL_1_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_1|FWD_OFF_UPD_7_1
94,7,chol_block,FWD_COL_2_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_2|FWD_OFF_UPD_7_2
95,7,chol_block,FWD_COL_3_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_3|FWD_OFF_UPD_7_3
96,7,chol_block,FWD_COL_4_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_4|FWD_OFF_UPD_7_4
97,7,chol_block,FWD_COL_5_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_5|FWD_OFF_UPD_7_5
98,7,chol_block,FWD_COL_6_ROW_7,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_7_6|FWD_OFF_UPD_7_6
99,7,chol_block,FWD_COL_7,SCALAR_DIV,1,4.00,4.00,4.00,4.00,FWD_DIAG_INV_7
100,7,chol_block,POTRF_DIAG_7,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_7
101,7,chol_block,POTRF_DIAG_A_7_7,VECTOR_MAC,7,7.00,1.00,1.00,1.00,POTRF_DIAG_UPD_7_0|POTRF_DIAG_UPD_7_1|POTRF_DIAG_UPD_7_2|POTRF_DIAG_UPD_7_3|POTRF_DIAG_UPD_7_4|POTRF_DIAG_UPD_7_5|POTRF_DIAG_UPD_7_6
102,7,chol_block,RK_UPDATE_A_7_7,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_7_0|RK_UPDATE_7_7_1|RK_UPDATE_7_7_2|RK_UPDATE_7_7_3|RK_UPDATE_7_7_4|RK_UPDATE_7_7_5|RK_UPDATE_7_7_6
103,7,chol_block,TRSM_7_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIV_7_0
104,7,chol_block,TRSM_7_1,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,TRSM_DIV_7_1|TRSM_NUM_UPD_7_1_0
105,7,chol_block,TRSM_7_2,SCALAR_DIV|VECTOR_MAC,3,6.00,2.00,4.00,1.00,TRSM_DIV_7_2|TRSM_NUM_UPD_7_2_0|TRSM_NUM_UPD_7_2_1
106,7,chol_block,TRSM_7_3,SCALAR_DIV|VECTOR_MAC,4,7.00,1.75,4.00,1.00,TRSM_DIV_7_3|TRSM_NUM_UPD_7_3_0|TRSM_NUM_UPD_7_3_1|TRSM_NUM_UPD_7_3_2
107,7,chol_block,TRSM_7_4,SCALAR_DIV|VECTOR_MAC,5,8.00,1.60,4.00,1.00,TRSM_DIV_7_4|TRSM_NUM_UPD_7_4_0|TRSM_NUM_UPD_7_4_1|TRSM_NUM_UPD_7_4_2|TRSM_NUM_UPD_7_4_3
108,7,chol_block,TRSM_7_5,SCALAR_DIV|VECTOR_MAC,6,9.00,1.50,4.00,1.00,TRSM_DIV_7_5|TRSM_NUM_UPD_7_5_0|TRSM_NUM_UPD_7_5_1|TRSM_NUM_UPD_7_5_2|TRSM_NUM_UPD_7_5_3|TRSM_NUM_UPD_7_5_4
109,7,chol_block,TRSM_7_6,SCALAR_DIV|VECTOR_MAC,7,10.00,1.43,4.00,1.00,TRSM_DIV_7_6|TRSM_NUM_UPD_7_6_0|TRSM_NUM_UPD_7_6_1|TRSM_NUM_UPD_7_6_2|TRSM_NUM_UPD_7_6_3|TRSM_NUM_UPD_7_6_4|TRSM_NUM_UPD_7_6_5
