major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
116,6,chol_nb,TRSM_6_5,VECTOR_MAC|VECTOR_MUL,6,6.00,1.00,1.00,1.00,TRSM_MUL_6_5|TRSM_NUM_UPD_6_5_0|TRSM_NUM_UPD_6_5_1|TRSM_NUM_UPD_6_5_2|TRSM_NUM_UPD_6_5_3|TRSM_NUM_UPD_6_5_4
117,6,chol_nb,TRSM_DIAG_6,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIAG_INV_6
118,7,chol_nb,POTRF_DIAG_7,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_7
119,7,chol_nb,POTRF_DIAG_A_7_7,VECTOR_MAC,7,7.00,1.00,1.00,1.00,POTRF_DIAG_UPD_7_0|POTRF_DIAG_UPD_7_1|POTRF_DIAG_UPD_7_2|POTRF_DIAG_UPD_7_3|POTRF_DIAG_UPD_7_4|POTRF_DIAG_UPD_7_5|POTRF_DIAG_UPD_7_6
120,7,chol_nb,RK_UPDATE_A_7_10,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_10_0|RK_UPDATE_7_10_1|RK_UPDATE_7_10_2|RK_UPDATE_7_10_3|RK_UPDATE_7_10_4|RK_UPDATE_7_10_5|RK_UPDATE_7_10_6
121,7,chol_nb,RK_UPDATE_A_7_11,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_11_0|RK_UPDATE_7_11_1|RK_UPDATE_7_11_2|RK_UPDATE_7_11_3|RK_UPDATE_7_11_4|RK_UPDATE_7_11_5|RK_UPDATE_7_11_6
122,7,chol_nb,RK_UPDATE_A_7_12,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_12_0|RK_UPDATE_7_12_1|RK_UPDATE_7_12_2|RK_UPDATE_7_12_3|RK_UPDATE_7_12_4|RK_UPDATE_7_12_5|RK_UPDATE_7_12_6
123,7,chol_nb,RK_UPDATE_A_7_13,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_13_0|RK_UPDATE_7_13_1|RK_UPDATE_7_13_2|RK_UPDATE_7_13_3|RK_UPDATE_7_13_4|RK_UPDATE_7_13_5|RK_UPDATE_7_13_6
124,7,chol_nb,RK_UPDATE_A_7_14,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_14_0|RK_UPDATE_7_14_1|RK_UPDATE_7_14_2|RK_UPDATE_7_14_3|RK_UPDATE_7_14_4|RK_UPDATE_7_14_5|RK_UPDATE_7_14_6
125,7,chol_nb,RK_UPDATE_A_7_15,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_15_0|RK_UPDATE_7_15_1|RK_UPDATE_7_15_2|RK_UPDATE_7_15_3|RK_UPDATE_7_15_4|RK_UPDATE_7_15_5|RK_UPDATE_7_15_6
126,7,chol_nb,RK_UPDATE_A_7_7,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_7_0|RK_UPDATE_7_7_1|RK_UPDATE_7_7_2|RK_UPDATE_7_7_3|RK_UPDATE_7_7_4|RK_UPDATE_7_7_5|RK_UPDATE_7_7_6
127,7,chol_nb,RK_UPDATE_A_7_8,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_8_0|RK_UPDATE_7_8_1|RK_UPDATE_7_8_2|RK_UPDATE_7_8_3|RK_UPDATE_7_8_4|RK_UPDATE_7_8_5|RK_UPDATE_7_8_6
128,7,chol_nb,RK_UPDATE_A_7_9,VECTOR_MAC,7,7.00,1.00,1.00,1.00,RK_UPDATE_7_9_0|RK_UPDATE_7_9_1|RK_UPDATE_7_9_2|RK_UPDATE_7_9_3|RK_UPDATE_7_9_4|RK_UPDATE_7_9_5|RK_UPDATE_7_9_6
129,7,chol_nb,TRSM_7_0,VECTOR_MUL,1,1.00,1.00,1.00,1.00,TRSM_MUL_7_0
130,7,chol_nb,TRSM_7_1,VECTOR_MAC|VECTOR_MUL,2,2.00,1.00,1.00,1.00,TRSM_MUL_7_1|TRSM_NUM_UPD_7_1_0
131,7,chol_nb,TRSM_7_2,VECTOR_MAC|VECTOR_MUL,3,3.00,1.00,1.00,1.00,TRSM_MUL_7_2|TRSM_NUM_UPD_7_2_0|TRSM_NUM_UPD_7_2_1
132,7,chol_nb,TRSM_7_3,VECTOR_MAC|VECTOR_MUL,4,4.00,1.00,1.00,1.00,TRSM_MUL_7_3|TRSM_NUM_UPD_7_3_0|TRSM_NUM_UPD_7_3_1|TRSM_NUM_UPD_7_3_2
133,7,chol_nb,TRSM_7_4,VECTOR_MAC|VECTOR_MUL,5,5.00,1.00,1.00,1.00,TRSM_MUL_7_4|TRSM_NUM_UPD_7_4_0|TRSM_NUM_UPD_7_4_1|TRSM_NUM_UPD_7_4_2|TRSM_NUM_UPD_7_4_3
134,7,chol_nb,TRSM_7_5,VECTOR_MAC|VECTOR_MUL,6,6.00,1.00,1.00,1.00,TRSM_MUL_7_5|TRSM_NUM_UPD_7_5_0|TRSM_NUM_UPD_7_5_1|TRSM_NUM_UPD_7_5_2|TRSM_NUM_UPD_7_5_3|TRSM_NUM_UPD_7_5_4
135,7,chol_nb,TRSM_7_6,VECTOR_MAC|VECTOR_MUL,7,7.00,1.00,1.00,1.00,TRSM_MUL_7_6|TRSM_NUM_UPD_7_6_0|TRSM_NUM_UPD_7_6_1|TRSM_NUM_UPD_7_6_2|TRSM_NUM_UPD_7_6_3|TRSM_NUM_UPD_7_6_4|TRSM_NUM_UPD_7_6_5
136,7,chol_nb,TRSM_DIAG_7,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIAG_INV_7
137,8,chol_nb,POTRF_DIAG_8,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_8
138,8,chol_nb,POTRF_DIAG_A_8_8,VECTOR_MAC,8,8.00,1.00,1.00,1.00,POTRF_DIAG_UPD_8_0|POTRF_DIAG_UPD_8_1|POTRF_DIAG_UPD_8_2|POTRF_DIAG_UPD_8_3|POTRF_DIAG_UPD_8_4|POTRF_DIAG_UPD_8_5|POTRF_DIAG_UPD_8_6|POTRF_DIAG_UPD_8_7
139,8,chol_nb,RK_UPDATE_A_8_10,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_10_0|RK_UPDATE_8_10_1|RK_UPDATE_8_10_2|RK_UPDATE_8_10_3|RK_UPDATE_8_10_4|RK_UPDATE_8_10_5|RK_UPDATE_8_10_6|RK_UPDATE_8_10_7
140,8,chol_nb,RK_UPDATE_A_8_11,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_11_0|RK_UPDATE_8_11_1|RK_UPDATE_8_11_2|RK_UPDATE_8_11_3|RK_UPDATE_8_11_4|RK_UPDATE_8_11_5|RK_UPDATE_8_11_6|RK_UPDATE_8_11_7
141,8,chol_nb,RK_UPDATE_A_8_12,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_12_0|RK_UPDATE_8_12_1|RK_UPDATE_8_12_2|RK_UPDATE_8_12_3|RK_UPDATE_8_12_4|RK_UPDATE_8_12_5|RK_UPDATE_8_12_6|RK_UPDATE_8_12_7
142,8,chol_nb,RK_UPDATE_A_8_13,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_13_0|RK_UPDATE_8_13_1|RK_UPDATE_8_13_2|RK_UPDATE_8_13_3|RK_UPDATE_8_13_4|RK_UPDATE_8_13_5|RK_UPDATE_8_13_6|RK_UPDATE_8_13_7
143,8,chol_nb,RK_UPDATE_A_8_14,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_14_0|RK_UPDATE_8_14_1|RK_UPDATE_8_14_2|RK_UPDATE_8_14_3|RK_UPDATE_8_14_4|RK_UPDATE_8_14_5|RK_UPDATE_8_14_6|RK_UPDATE_8_14_7
144,8,chol_nb,RK_UPDATE_A_8_15,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_15_0|RK_UPDATE_8_15_1|RK_UPDATE_8_15_2|RK_UPDATE_8_15_3|RK_UPDATE_8_15_4|RK_UPDATE_8_15_5|RK_UPDATE_8_15_6|RK_UPDATE_8_15_7
145,8,chol_nb,RK_UPDATE_A_8_8,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_8_0|RK_UPDATE_8_8_1|RK_UPDATE_8_8_2|RK_UPDATE_8_8_3|RK_UPDATE_8_8_4|RK_UPDATE_8_8_5|RK_UPDATE_8_8_6|RK_UPDATE_8_8_7
