step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
58,3,ldl_block,BWD_OFF_3_5,BWD_OFF_ACC_3_5_0,Add,VECTOR_ADD,"X_{3,5}^0 = X_{3,5} + T_{3,5}^0",2*2,1.00,LDL_BWD_OFF_ACC_3_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
59,3,ldl_block,BWD_OFF_3_6,BWD_OFF_ACC_3_6_0,Add,VECTOR_ADD,"X_{3,6}^0 = X_{3,6} + T_{3,6}^0",2*2,1.00,LDL_BWD_OFF_ACC_3_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
60,3,ldl_block,BWD_OFF_3_7,BWD_OFF_ACC_3_7_0,Add,VECTOR_ADD,"X_{3,7}^0 = X_{3,7} + T_{3,7}^0",2*2,1.00,LDL_BWD_OFF_ACC_3_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
61,3,ldl_block,BWD_OFF_3_4,BWD_OFF_MUL_3_4_0,MatMul,MATMUL,"T_{3,4}^0 = L @ X",2*(U-4*2)*2,1.00,LDL_BWD_OFF_MUL_3_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
62,3,ldl_block,BWD_OFF_3_5,BWD_OFF_MUL_3_5_0,MatMul,MATMUL,"T_{3,5}^0 = L @ X",2*(U-4*2)*2,1.00,LDL_BWD_OFF_MUL_3_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
63,3,ldl_block,BWD_OFF_3_6,BWD_OFF_MUL_3_6_0,MatMul,MATMUL,"T_{3,6}^0 = L @ X",2*(U-4*2)*2,1.00,LDL_BWD_OFF_MUL_3_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
64,3,ldl_block,BWD_OFF_3_7,BWD_OFF_MUL_3_7_0,MatMul,MATMUL,"T_{3,7}^0 = L @ X",2*(U-4*2)*2,1.00,LDL_BWD_OFF_MUL_3_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
65,3,ldl_block,D_BLOCK_3,D_DIAG_INV_3,Div,SCALAR_DIV,Dinv_{3} = 1 / D_{3},2*2,4.00,LDL_D_DIAG_INV_3,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
66,3,ldl_block,D_BLOCK_3,D_INV_MUL_3,Mul,VECTOR_MUL,DinvBlk_{3} = D_{3} * Dinv_{3},2*2,1.00,LDL_D_INV_MUL_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
67,3,ldl_block,D_BLOCK_3,D_UPDATE_3,SubMul,VECTOR_MAC,"D_{3} = A_{3,3} - L D L^T",2*16*2,1.00,LDL_D_UPDATE_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
