major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
54,3,ldl_noblock,BWD_OFF_3_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_10_0|BWD_OFF_MUL_3_10_0
55,3,ldl_noblock,BWD_OFF_3_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_11_0|BWD_OFF_MUL_3_11_0
56,3,ldl_noblock,BWD_OFF_3_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_12_0|BWD_OFF_MUL_3_12_0
57,3,ldl_noblock,BWD_OFF_3_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_13_0|BWD_OFF_MUL_3_13_0
58,3,ldl_noblock,BWD_OFF_3_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_14_0|BWD_OFF_MUL_3_14_0
59,3,ldl_noblock,BWD_OFF_3_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_15_0|BWD_OFF_MUL_3_15_0
60,3,ldl_noblock,BWD_OFF_3_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_4_0|BWD_OFF_MUL_3_4_0
61,3,ldl_noblock,BWD_OFF_3_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_5_0|BWD_OFF_MUL_3_5_0
62,3,ldl_noblock,BWD_OFF_3_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_6_0|BWD_OFF_MUL_3_6_0
63,3,ldl_noblock,BWD_OFF_3_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_7_0|BWD_OFF_MUL_3_7_0
64,3,ldl_noblock,BWD_OFF_3_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_8_0|BWD_OFF_MUL_3_8_0
65,3,ldl_noblock,BWD_OFF_3_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_3_9_0|BWD_OFF_MUL_3_9_0
66,3,ldl_noblock,D_BLOCK_3,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_3|D_INV_MUL_3|D_UPDATE_3
67,3,ldl_noblock,L_UPDATE_3_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_3_0_PACK1
68,3,ldl_noblock,L_UPDATE_3_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_3_1_PACK1
69,3,ldl_noblock,L_UPDATE_3_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_3_2_PACK1
70,4,ldl_noblock,BWD_DIAG_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_4_0|BWD_DIAG_MUL_4_0
71,4,ldl_noblock,BWD_OFF_4_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_10_0|BWD_OFF_MUL_4_10_0
72,4,ldl_noblock,BWD_OFF_4_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_11_0|BWD_OFF_MUL_4_11_0
73,4,ldl_noblock,BWD_OFF_4_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_12_0|BWD_OFF_MUL_4_12_0
74,4,ldl_noblock,BWD_OFF_4_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_13_0|BWD_OFF_MUL_4_13_0
75,4,ldl_noblock,BWD_OFF_4_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_14_0|BWD_OFF_MUL_4_14_0
76,4,ldl_noblock,BWD_OFF_4_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_15_0|BWD_OFF_MUL_4_15_0
77,4,ldl_noblock,BWD_OFF_4_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_5_0|BWD_OFF_MUL_4_5_0
78,4,ldl_noblock,BWD_OFF_4_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_6_0|BWD_OFF_MUL_4_6_0
79,4,ldl_noblock,BWD_OFF_4_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_7_0|BWD_OFF_MUL_4_7_0
80,4,ldl_noblock,BWD_OFF_4_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_8_0|BWD_OFF_MUL_4_8_0
81,4,ldl_noblock,BWD_OFF_4_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_9_0|BWD_OFF_MUL_4_9_0
82,4,ldl_noblock,D_BLOCK_4,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_4|D_INV_MUL_4|D_UPDATE_4
83,4,ldl_noblock,L_UPDATE_4_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_4_0_PACK1
84,4,ldl_noblock,L_UPDATE_4_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_4_1_PACK1
85,4,ldl_noblock,L_UPDATE_4_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_4_2_PACK1
86,4,ldl_noblock,L_UPDATE_4_3,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_4_3_PACK1
87,5,ldl_noblock,BWD_DIAG_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_5_0|BWD_DIAG_MUL_5_0
88,5,ldl_noblock,BWD_OFF_5_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_10_0|BWD_OFF_MUL_5_10_0
89,5,ldl_noblock,BWD_OFF_5_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_11_0|BWD_OFF_MUL_5_11_0
90,5,ldl_noblock,BWD_OFF_5_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_12_0|BWD_OFF_MUL_5_12_0
91,5,ldl_noblock,BWD_OFF_5_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_13_0|BWD_OFF_MUL_5_13_0
92,5,ldl_noblock,BWD_OFF_5_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_14_0|BWD_OFF_MUL_5_14_0
93,5,ldl_noblock,BWD_OFF_5_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_15_0|BWD_OFF_MUL_5_15_0
94,5,ldl_noblock,BWD_OFF_5_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_6_0|BWD_OFF_MUL_5_6_0
95,5,ldl_noblock,BWD_OFF_5_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_7_0|BWD_OFF_MUL_5_7_0
96,5,ldl_noblock,BWD_OFF_5_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_8_0|BWD_OFF_MUL_5_8_0
97,5,ldl_noblock,BWD_OFF_5_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_9_0|BWD_OFF_MUL_5_9_0
98,5,ldl_noblock,D_BLOCK_5,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_5|D_INV_MUL_5|D_UPDATE_5
99,5,ldl_noblock,L_UPDATE_5_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_5_0_PACK1
100,5,ldl_noblock,L_UPDATE_5_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_5_1_PACK1
101,5,ldl_noblock,L_UPDATE_5_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_5_2_PACK1
102,5,ldl_noblock,L_UPDATE_5_3,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_5_3_PACK1
103,5,ldl_noblock,L_UPDATE_5_4,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_5_4_PACK1
104,6,ldl_noblock,BWD_DIAG_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_6_0|BWD_DIAG_MUL_6_0
105,6,ldl_noblock,BWD_OFF_6_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_10_0|BWD_OFF_MUL_6_10_0
106,6,ldl_noblock,BWD_OFF_6_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_11_0|BWD_OFF_MUL_6_11_0
107,6,ldl_noblock,BWD_OFF_6_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_12_0|BWD_OFF_MUL_6_12_0
108,6,ldl_noblock,BWD_OFF_6_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_13_0|BWD_OFF_MUL_6_13_0
109,6,ldl_noblock,BWD_OFF_6_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_14_0|BWD_OFF_MUL_6_14_0
110,6,ldl_noblock,BWD_OFF_6_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_15_0|BWD_OFF_MUL_6_15_0
111,6,ldl_noblock,BWD_OFF_6_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_7_0|BWD_OFF_MUL_6_7_0
112,6,ldl_noblock,BWD_OFF_6_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_8_0|BWD_OFF_MUL_6_8_0
113,6,ldl_noblock,BWD_OFF_6_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_9_0|BWD_OFF_MUL_6_9_0
114,6,ldl_noblock,D_BLOCK_6,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_6|D_INV_MUL_6|D_UPDATE_6
115,6,ldl_noblock,L_UPDATE_6_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_6_0_PACK1
116,6,ldl_noblock,L_UPDATE_6_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_6_1_PACK1
117,6,ldl_noblock,L_UPDATE_6_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_6_2_PACK1
118,6,ldl_noblock,L_UPDATE_6_3,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_6_3_PACK1
119,6,ldl_noblock,L_UPDATE_6_4,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_6_4_PACK1
120,6,ldl_noblock,L_UPDATE_6_5,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_6_5_PACK1
121,7,ldl_noblock,BWD_DIAG_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_7_0|BWD_DIAG_MUL_7_0
