major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
49,5,ldl_block,L_UPDATE_5_4,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_5_4_PACK2
50,6,ldl_block,BWD_DIAG_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_6_0|BWD_DIAG_MUL_6_0
51,6,ldl_block,BWD_OFF_6_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_6_7_0|BWD_OFF_MUL_6_7_0
52,6,ldl_block,D_BLOCK_6,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_6|D_INV_MUL_6|D_UPDATE_6
53,6,ldl_block,L_UPDATE_6_1,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_6_1_PACK2
54,6,ldl_block,L_UPDATE_6_3,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_6_3_PACK2
55,6,ldl_block,L_UPDATE_6_5,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_6_5_PACK2
56,7,ldl_block,D_BLOCK_7,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_7|D_INV_MUL_7|D_UPDATE_7
57,7,ldl_block,L_UPDATE_7_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_0_PACK1
58,7,ldl_block,L_UPDATE_7_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_2_PACK1
59,7,ldl_block,L_UPDATE_7_4,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_4_PACK1
60,7,ldl_block,L_UPDATE_7_6,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_6_PACK1
