step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
1615,CHOL_NB_TRSM_NUM_UPD_15_13_1,Vector,96,1.00,1.00,1,1,96,3370,13439
1616,CHOL_NB_TRSM_NUM_UPD_15_13_10,Vector,96,1.00,1.00,1,1,96,3388,13457
1617,CHOL_NB_TRSM_NUM_UPD_15_13_11,Vector,96,1.00,1.00,1,1,96,3390,13459
1618,CHOL_NB_TRSM_NUM_UPD_15_13_12,Vector,96,1.00,1.00,1,1,96,3392,13461
1619,CHOL_NB_TRSM_NUM_UPD_15_13_2,Vector,96,1.00,1.00,1,1,96,3372,13441
1620,CHOL_NB_TRSM_NUM_UPD_15_13_3,Vector,96,1.00,1.00,1,1,96,3374,13443
1621,CHOL_NB_TRSM_NUM_UPD_15_13_4,Vector,96,1.00,1.00,1,1,96,3376,13445
1622,CHOL_NB_TRSM_NUM_UPD_15_13_5,Vector,96,1.00,1.00,1,1,96,3378,13447
1623,CHOL_NB_TRSM_NUM_UPD_15_13_6,Vector,96,1.00,1.00,1,1,96,3380,13449
1624,CHOL_NB_TRSM_NUM_UPD_15_13_7,Vector,96,1.00,1.00,1,1,96,3382,13451
1625,CHOL_NB_TRSM_NUM_UPD_15_13_8,Vector,96,1.00,1.00,1,1,96,3384,13453
1626,CHOL_NB_TRSM_NUM_UPD_15_13_9,Vector,96,1.00,1.00,1,1,96,3386,13455
1627,CHOL_NB_TRSM_NUM_UPD_15_14_0,Vector,96,1.00,1.00,1,1,96,3439,13508
1628,CHOL_NB_TRSM_NUM_UPD_15_14_1,Vector,96,1.00,1.00,1,1,96,3441,13510
1629,CHOL_NB_TRSM_NUM_UPD_15_14_10,Vector,96,1.00,1.00,1,1,96,3459,13528
1630,CHOL_NB_TRSM_NUM_UPD_15_14_11,Vector,96,1.00,1.00,1,1,96,3461,13530
1631,CHOL_NB_TRSM_NUM_UPD_15_14_12,Vector,96,1.00,1.00,1,1,96,3463,13532
1632,CHOL_NB_TRSM_NUM_UPD_15_14_13,Vector,96,1.00,1.00,1,1,96,3465,13534
1633,CHOL_NB_TRSM_NUM_UPD_15_14_2,Vector,96,1.00,1.00,1,1,96,3443,13512
1634,CHOL_NB_TRSM_NUM_UPD_15_14_3,Vector,96,1.00,1.00,1,1,96,3445,13514
1635,CHOL_NB_TRSM_NUM_UPD_15_14_4,Vector,96,1.00,1.00,1,1,96,3447,13516
1636,CHOL_NB_TRSM_NUM_UPD_15_14_5,Vector,96,1.00,1.00,1,1,96,3449,13518
1637,CHOL_NB_TRSM_NUM_UPD_15_14_6,Vector,96,1.00,1.00,1,1,96,3451,13520
1638,CHOL_NB_TRSM_NUM_UPD_15_14_7,Vector,96,1.00,1.00,1,1,96,3453,13522
1639,CHOL_NB_TRSM_NUM_UPD_15_14_8,Vector,96,1.00,1.00,1,1,96,3455,13524
1640,CHOL_NB_TRSM_NUM_UPD_15_14_9,Vector,96,1.00,1.00,1,1,96,3457,13526
1641,CHOL_NB_TRSM_NUM_UPD_15_1_0,Vector,96,1.00,1.00,1,1,96,748,10225
1642,CHOL_NB_TRSM_NUM_UPD_15_2_0,Vector,96,1.00,1.00,1,1,96,1047,11111
1643,CHOL_NB_TRSM_NUM_UPD_15_2_1,Vector,96,1.00,1.00,1,1,96,1049,11113
1644,CHOL_NB_TRSM_NUM_UPD_15_3_0,Vector,96,1.00,1.00,1,1,96,1338,11402
1645,CHOL_NB_TRSM_NUM_UPD_15_3_1,Vector,96,1.00,1.00,1,1,96,1340,11404
1646,CHOL_NB_TRSM_NUM_UPD_15_3_2,Vector,96,1.00,1.00,1,1,96,1342,11406
1647,CHOL_NB_TRSM_NUM_UPD_15_4_0,Vector,96,1.00,1.00,1,1,96,1619,11683
1648,CHOL_NB_TRSM_NUM_UPD_15_4_1,Vector,96,1.00,1.00,1,1,96,1621,11685
1649,CHOL_NB_TRSM_NUM_UPD_15_4_2,Vector,96,1.00,1.00,1,1,96,1623,11687
1650,CHOL_NB_TRSM_NUM_UPD_15_4_3,Vector,96,1.00,1.00,1,1,96,1625,11689
1651,CHOL_NB_TRSM_NUM_UPD_15_5_0,Vector,96,1.00,1.00,1,1,96,1888,11952
1652,CHOL_NB_TRSM_NUM_UPD_15_5_1,Vector,96,1.00,1.00,1,1,96,1890,11954
1653,CHOL_NB_TRSM_NUM_UPD_15_5_2,Vector,96,1.00,1.00,1,1,96,1892,11956
1654,CHOL_NB_TRSM_NUM_UPD_15_5_3,Vector,96,1.00,1.00,1,1,96,1894,11958
1655,CHOL_NB_TRSM_NUM_UPD_15_5_4,Vector,96,1.00,1.00,1,1,96,1896,11960
