step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
0,-1,chol_nb,GRAM,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,CHOL_NB_GRAM,Core0_Cube|Core10_Cube|Core11_Cube|Core12_Cube|Core13_Cube|Core14_Cube|Core15_Cube|Core16_Cube|Core17_Cube|Core18_Cube|Core19_Cube|Core1_Cube|Core20_Cube|Core21_Cube|Core22_Cube|Core23_Cube|Core2_Cube|Core3_Cube|Core4_Cube|Core5_Cube|Core6_Cube|Core7_Cube|Core8_Cube|Core9_Cube
127,4,chol_nb,RK_UPDATE_A_4_13,RK_UPDATE_4_13_2,SubMul,VECTOR_MAC,"A_{4,13} = A_{4,13} - L_{4,2}L_{13,2}",1,1.00,CHOL_NB_RK_UPDATE_4_13_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
128,4,chol_nb,RK_UPDATE_A_4_13,RK_UPDATE_4_13_3,SubMul,VECTOR_MAC,"A_{4,13} = A_{4,13} - L_{4,3}L_{13,3}",1,1.00,CHOL_NB_RK_UPDATE_4_13_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
129,4,chol_nb,RK_UPDATE_A_4_14,RK_UPDATE_4_14_0,SubMul,VECTOR_MAC,"A_{4,14} = A_{4,14} - L_{4,0}L_{14,0}",1,1.00,CHOL_NB_RK_UPDATE_4_14_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
130,4,chol_nb,RK_UPDATE_A_4_14,RK_UPDATE_4_14_1,SubMul,VECTOR_MAC,"A_{4,14} = A_{4,14} - L_{4,1}L_{14,1}",1,1.00,CHOL_NB_RK_UPDATE_4_14_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
131,4,chol_nb,RK_UPDATE_A_4_14,RK_UPDATE_4_14_2,SubMul,VECTOR_MAC,"A_{4,14} = A_{4,14} - L_{4,2}L_{14,2}",1,1.00,CHOL_NB_RK_UPDATE_4_14_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
132,4,chol_nb,RK_UPDATE_A_4_14,RK_UPDATE_4_14_3,SubMul,VECTOR_MAC,"A_{4,14} = A_{4,14} - L_{4,3}L_{14,3}",1,1.00,CHOL_NB_RK_UPDATE_4_14_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
133,4,chol_nb,RK_UPDATE_A_4_15,RK_UPDATE_4_15_0,SubMul,VECTOR_MAC,"A_{4,15} = A_{4,15} - L_{4,0}L_{15,0}",1,1.00,CHOL_NB_RK_UPDATE_4_15_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
134,4,chol_nb,RK_UPDATE_A_4_15,RK_UPDATE_4_15_1,SubMul,VECTOR_MAC,"A_{4,15} = A_{4,15} - L_{4,1}L_{15,1}",1,1.00,CHOL_NB_RK_UPDATE_4_15_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
135,4,chol_nb,RK_UPDATE_A_4_15,RK_UPDATE_4_15_2,SubMul,VECTOR_MAC,"A_{4,15} = A_{4,15} - L_{4,2}L_{15,2}",1,1.00,CHOL_NB_RK_UPDATE_4_15_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
136,4,chol_nb,RK_UPDATE_A_4_15,RK_UPDATE_4_15_3,SubMul,VECTOR_MAC,"A_{4,15} = A_{4,15} - L_{4,3}L_{15,3}",1,1.00,CHOL_NB_RK_UPDATE_4_15_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
137,4,chol_nb,RK_UPDATE_A_4_4,RK_UPDATE_4_4_0,SubMul,VECTOR_MAC,"A_{4,4} = A_{4,4} - L_{4,0}L_{4,0}",1,1.00,CHOL_NB_RK_UPDATE_4_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
138,4,chol_nb,RK_UPDATE_A_4_4,RK_UPDATE_4_4_1,SubMul,VECTOR_MAC,"A_{4,4} = A_{4,4} - L_{4,1}L_{4,1}",1,1.00,CHOL_NB_RK_UPDATE_4_4_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
139,4,chol_nb,RK_UPDATE_A_4_4,RK_UPDATE_4_4_2,SubMul,VECTOR_MAC,"A_{4,4} = A_{4,4} - L_{4,2}L_{4,2}",1,1.00,CHOL_NB_RK_UPDATE_4_4_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
140,4,chol_nb,RK_UPDATE_A_4_4,RK_UPDATE_4_4_3,SubMul,VECTOR_MAC,"A_{4,4} = A_{4,4} - L_{4,3}L_{4,3}",1,1.00,CHOL_NB_RK_UPDATE_4_4_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
141,4,chol_nb,RK_UPDATE_A_4_5,RK_UPDATE_4_5_0,SubMul,VECTOR_MAC,"A_{4,5} = A_{4,5} - L_{4,0}L_{5,0}",1,1.00,CHOL_NB_RK_UPDATE_4_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
142,4,chol_nb,RK_UPDATE_A_4_5,RK_UPDATE_4_5_1,SubMul,VECTOR_MAC,"A_{4,5} = A_{4,5} - L_{4,1}L_{5,1}",1,1.00,CHOL_NB_RK_UPDATE_4_5_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
143,4,chol_nb,RK_UPDATE_A_4_5,RK_UPDATE_4_5_2,SubMul,VECTOR_MAC,"A_{4,5} = A_{4,5} - L_{4,2}L_{5,2}",1,1.00,CHOL_NB_RK_UPDATE_4_5_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
144,4,chol_nb,RK_UPDATE_A_4_5,RK_UPDATE_4_5_3,SubMul,VECTOR_MAC,"A_{4,5} = A_{4,5} - L_{4,3}L_{5,3}",1,1.00,CHOL_NB_RK_UPDATE_4_5_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
145,4,chol_nb,RK_UPDATE_A_4_6,RK_UPDATE_4_6_0,SubMul,VECTOR_MAC,"A_{4,6} = A_{4,6} - L_{4,0}L_{6,0}",1,1.00,CHOL_NB_RK_UPDATE_4_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
146,4,chol_nb,RK_UPDATE_A_4_6,RK_UPDATE_4_6_1,SubMul,VECTOR_MAC,"A_{4,6} = A_{4,6} - L_{4,1}L_{6,1}",1,1.00,CHOL_NB_RK_UPDATE_4_6_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
147,4,chol_nb,RK_UPDATE_A_4_6,RK_UPDATE_4_6_2,SubMul,VECTOR_MAC,"A_{4,6} = A_{4,6} - L_{4,2}L_{6,2}",1,1.00,CHOL_NB_RK_UPDATE_4_6_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
148,4,chol_nb,RK_UPDATE_A_4_6,RK_UPDATE_4_6_3,SubMul,VECTOR_MAC,"A_{4,6} = A_{4,6} - L_{4,3}L_{6,3}",1,1.00,CHOL_NB_RK_UPDATE_4_6_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
149,4,chol_nb,RK_UPDATE_A_4_7,RK_UPDATE_4_7_0,SubMul,VECTOR_MAC,"A_{4,7} = A_{4,7} - L_{4,0}L_{7,0}",1,1.00,CHOL_NB_RK_UPDATE_4_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
150,4,chol_nb,RK_UPDATE_A_4_7,RK_UPDATE_4_7_1,SubMul,VECTOR_MAC,"A_{4,7} = A_{4,7} - L_{4,1}L_{7,1}",1,1.00,CHOL_NB_RK_UPDATE_4_7_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
151,4,chol_nb,RK_UPDATE_A_4_7,RK_UPDATE_4_7_2,SubMul,VECTOR_MAC,"A_{4,7} = A_{4,7} - L_{4,2}L_{7,2}",1,1.00,CHOL_NB_RK_UPDATE_4_7_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
152,4,chol_nb,RK_UPDATE_A_4_7,RK_UPDATE_4_7_3,SubMul,VECTOR_MAC,"A_{4,7} = A_{4,7} - L_{4,3}L_{7,3}",1,1.00,CHOL_NB_RK_UPDATE_4_7_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
153,4,chol_nb,RK_UPDATE_A_4_8,RK_UPDATE_4_8_0,SubMul,VECTOR_MAC,"A_{4,8} = A_{4,8} - L_{4,0}L_{8,0}",1,1.00,CHOL_NB_RK_UPDATE_4_8_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
154,4,chol_nb,RK_UPDATE_A_4_8,RK_UPDATE_4_8_1,SubMul,VECTOR_MAC,"A_{4,8} = A_{4,8} - L_{4,1}L_{8,1}",1,1.00,CHOL_NB_RK_UPDATE_4_8_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
155,4,chol_nb,RK_UPDATE_A_4_8,RK_UPDATE_4_8_2,SubMul,VECTOR_MAC,"A_{4,8} = A_{4,8} - L_{4,2}L_{8,2}",1,1.00,CHOL_NB_RK_UPDATE_4_8_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
156,4,chol_nb,RK_UPDATE_A_4_8,RK_UPDATE_4_8_3,SubMul,VECTOR_MAC,"A_{4,8} = A_{4,8} - L_{4,3}L_{8,3}",1,1.00,CHOL_NB_RK_UPDATE_4_8_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
157,4,chol_nb,RK_UPDATE_A_4_9,RK_UPDATE_4_9_0,SubMul,VECTOR_MAC,"A_{4,9} = A_{4,9} - L_{4,0}L_{9,0}",1,1.00,CHOL_NB_RK_UPDATE_4_9_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
158,4,chol_nb,RK_UPDATE_A_4_9,RK_UPDATE_4_9_1,SubMul,VECTOR_MAC,"A_{4,9} = A_{4,9} - L_{4,1}L_{9,1}",1,1.00,CHOL_NB_RK_UPDATE_4_9_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
159,4,chol_nb,RK_UPDATE_A_4_9,RK_UPDATE_4_9_2,SubMul,VECTOR_MAC,"A_{4,9} = A_{4,9} - L_{4,2}L_{9,2}",1,1.00,CHOL_NB_RK_UPDATE_4_9_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
160,4,chol_nb,RK_UPDATE_A_4_9,RK_UPDATE_4_9_3,SubMul,VECTOR_MAC,"A_{4,9} = A_{4,9} - L_{4,3}L_{9,3}",1,1.00,CHOL_NB_RK_UPDATE_4_9_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
161,4,chol_nb,TRSM_DIAG_4,TRSM_DIAG_INV_4,Div,SCALAR_DIV,"invL_{4} = 1/L_{4,4}",1,4.00,CHOL_NB_TRSM_DIAG_INV_4,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
162,4,chol_nb,TRSM_4_0,TRSM_MUL_4_0,Mul,VECTOR_MUL,"L_{4,0} = A_{4,0} * invL_{0}",1,1.00,CHOL_NB_TRSM_MUL_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
163,4,chol_nb,TRSM_4_1,TRSM_MUL_4_1,Mul,VECTOR_MUL,"L_{4,1} = A_{4,1} * invL_{1}",1,1.00,CHOL_NB_TRSM_MUL_4_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
164,4,chol_nb,TRSM_4_2,TRSM_MUL_4_2,Mul,VECTOR_MUL,"L_{4,2} = A_{4,2} * invL_{2}",1,1.00,CHOL_NB_TRSM_MUL_4_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
165,4,chol_nb,TRSM_4_3,TRSM_MUL_4_3,Mul,VECTOR_MUL,"L_{4,3} = A_{4,3} * invL_{3}",1,1.00,CHOL_NB_TRSM_MUL_4_3,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
166,4,chol_nb,TRSM_4_1,TRSM_NUM_UPD_4_1_0,SubMul,VECTOR_MAC,"A_{4,1} = A_{4,1} - L_{4,0}L_{1,0}",1,1.00,CHOL_NB_TRSM_NUM_UPD_4_1_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
167,4,chol_nb,TRSM_4_2,TRSM_NUM_UPD_4_2_0,SubMul,VECTOR_MAC,"A_{4,2} = A_{4,2} - L_{4,0}L_{2,0}",1,1.00,CHOL_NB_TRSM_NUM_UPD_4_2_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
168,4,chol_nb,TRSM_4_2,TRSM_NUM_UPD_4_2_1,SubMul,VECTOR_MAC,"A_{4,2} = A_{4,2} - L_{4,1}L_{2,1}",1,1.00,CHOL_NB_TRSM_NUM_UPD_4_2_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
169,4,chol_nb,TRSM_4_3,TRSM_NUM_UPD_4_3_0,SubMul,VECTOR_MAC,"A_{4,3} = A_{4,3} - L_{4,0}L_{3,0}",1,1.00,CHOL_NB_TRSM_NUM_UPD_4_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
170,4,chol_nb,TRSM_4_3,TRSM_NUM_UPD_4_3_1,SubMul,VECTOR_MAC,"A_{4,3} = A_{4,3} - L_{4,1}L_{3,1}",1,1.00,CHOL_NB_TRSM_NUM_UPD_4_3_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
